City State,"Violent Crime Rate Per 100,000 People","Property Crime Rate Per 100,000 People"
Ankeny IA,73.1,1385.5
Apopka FL,339.2,3057.2
Apple Valley MN,#N/A,2239.7
Arcadia CA,99.5,2422.5
Arlington MA,116.8,1179.2
Attleboro MA,322.5,2411.8
Auburn AL,240.9,3502.8
Azusa CA,467,2555.7
Barnstable MA,621,2784.7
Bartlett IL,74.7,764.3
Bartlett TN,237.8,1401.5
Beavercreek OH,54.9,2355
Bedford TX,293.3,2729.5
Bell Gardens CA,292.3,1702.2
Bellevue NE,106.4,2209.8
Berwyn IL,198.5,2513.5
Beverly MA,206.7,1569.1
Billerica MA,136.5,1141
Biloxi MS,417.4,5033.6
Binghamton NY,666.7,4943.9
Blacksburg VA,90.6,1102.9
Blaine MN,#N/A,3316.5
Bloomfield MI,53.2,1092.7
Bloomfield NJ,264.6,2286.9
Blue Springs MO,242.2,3343.6
Boardman OH,105.9,4181.4
Bountiful UT,84.3,2141.8
Bowie MD,141.7,1624.7
Bowling Green KY,320.1,5123.4
Bradenton FL,670.2,3982.1
Brea CA,183.8,3209.7
Brentwood CA,187.5,2243.9
Bridgewater NJ,29,1459.3
Bristol PA,204.4,3146.2
Brookline MA,137.5,1346
Broomfield CO,51.6,2086.2
Buckeye AZ,103.4,2627.7
Buffalo Grove IL,12,892.4
Bullhead City AZ,213.5,4037
Burlington NC,789.4,5428.7
Caldwell ID,256.2,2437.4
Campbell CA,223.1,4087.9
Carol Stream IL,90,1199.8
Casa Grande AZ,420.9,5699
Casper WY,151.4,3464.7
Castle Rock CO,89.9,1331
Cathedral City CA,385.9,2981.1
Cedar Hill TX,227.3,3529.7
Cedar Park TX,209.4,1469.7
Ceres CA,396.4,4202.1
Cerritos CA,240.7,3750.8
Chapel Hill NC,148.5,2548.4
Charlottesville VA,450.1,3414.3
Chesterfield MI,278.3,2044.9
Chesterfield MO,48.4,1587.5
Chicopee MA,462.2,3007.6
Cleveland Heights OH,367.1,3601.3
Cleveland TN,881.9,5289.1
Coachella CA,630.4,3680.4
Coconut Creek FL,195.8,2967.9
Coeur d'Alene ID,574.4,4369.6
Colerain OH,27.4,2668.6
Collierville TN,172.3,1984.8
Colton CA,353.7,3569.1
Columbus IN,185.2,4931.2
Commerce City CO,357.2,2983.8
Concord NH,214.9,2970.9
Conroe TX,369.2,3443.3
Coppell TX,67.4,1655.3
Coral Gables FL,163.1,4701.1
Corvallis OR,121.7,2575.3
Covina CA,310.8,3398
Crystal Lake IL,152,1971.3
Cupertino CA,97,1333.5
Cutler Bay FL,296.7,4440.3
Cuyahoga Falls OH,131.4,2575.3
Cypress CA,114.3,2078.6
Danville CA,37.1,1025
